iter	Passed	Remaining
0	142	142319
1	145	72394
2	147	48987
3	151	37646
4	153	30589
5	155	25834
6	161	22878
7	164	20362
8	167	18430
9	169	16768
10	173	15621
11	178	14657
12	181	13751
13	184	12993
14	189	12452
15	192	11854
16	196	11355
17	200	10949
18	204	10558
19	209	10270
20	213	9941
21	217	9654
22	221	9403
23	224	9132
24	228	8924
25	231	8684
26	234	8452
27	237	8248
28	241	8078
29	244	7907
30	248	7773
31	252	7626
32	255	7484
33	256	7298
34	258	7135
35	263	7049
36	265	6902
37	267	6760
38	268	6620
39	270	6490
40	271	6357
41	274	6252
42	275	6139
43	277	6033
44	279	5927
45	281	5827
46	282	5726
47	284	5636
48	286	5555
49	288	5479
50	289	5390
51	290	5303
52	292	5221
53	293	5148
54	295	5078
55	297	5012
56	299	4948
57	300	4882
58	302	4819
59	303	4757
60	305	4701
61	306	4644
62	308	4592
63	310	4544
64	312	4493
65	314	4446
66	315	4397
67	317	4350
68	318	4304
69	320	4264
70	322	4222
71	324	4181
72	326	4142
73	327	4102
74	329	4062
75	330	4020
76	332	3986
77	334	3950
78	335	3912
79	337	3876
80	338	3835
81	339	3801
82	341	3769
83	343	3740
84	344	3706
85	346	3678
86	347	3649
87	349	3622
88	351	3593
89	352	3568
90	354	3540
91	356	3517
92	358	3495
93	359	3467
94	361	3442
95	362	3417
96	364	3393
97	366	3369
98	367	3348
99	369	3327
100	371	3307
101	373	3290
102	375	3267
103	376	3245
104	378	3225
105	385	3254
106	402	3363
107	411	3397
108	414	3386
109	416	3365
110	418	3355
111	427	3391
112	429	3370
113	430	3349
114	432	3329
115	434	3309
116	440	3325
117	444	3322
118	445	3300
119	447	3284
120	449	3266
121	451	3247
122	452	3227
123	453	3207
124	455	3189
125	457	3172
126	458	3154
127	461	3140
128	462	3123
129	463	3104
130	465	3088
131	467	3073
132	469	3057
133	470	3042
134	473	3031
135	474	3016
136	476	3001
137	478	2988
138	479	2972
139	481	2958
140	483	2945
141	485	2932
142	486	2918
143	488	2904
144	489	2887
145	491	2873
146	492	2858
147	494	2845
148	495	2831
149	497	2817
150	498	2803
151	499	2789
152	501	2775
153	502	2762
154	504	2750
155	506	2737
156	507	2725
157	510	2718
158	511	2707
159	513	2697
160	515	2685
161	516	2673
162	518	2663
163	520	2654
164	522	2643
165	524	2633
166	525	2622
167	527	2611
168	538	2649
169	542	2650
170	545	2642
171	546	2633
172	548	2622
173	551	2615
174	552	2605
175	554	2596
176	556	2587
177	558	2579
178	560	2570
179	562	2563
180	564	2554
181	566	2544
182	567	2535
183	569	2527
184	571	2519
185	574	2515
186	576	2507
187	578	2499
188	581	2493
189	582	2485
190	585	2480
191	587	2471
192	588	2462
193	590	2453
194	592	2444
